Image Name,IoU Change
aachen_000111_000019,7.93
bremen_000303_000019,7.58
darmstadt_000074_000019,6.95
darmstadt_000074_000019,6.95
dusseldorf_000087_000019,6.58
darmstadt_000062_000019,6.24
weimar_000096_000019,6.21
zurich_000072_000019,6.02
stuttgart_000100_000019,5.81
darmstadt_000020_000019,5.78
darmstadt_000041_000019,5.76
dusseldorf_000020_000019,5.51
jena_000035_000019,5.41
jena_000110_000019,5.24
zurich_000080_000019,5.24
krefeld_000000_024276,5.22
aachen_000056_000019,5.00
dusseldorf_000154_000019,4.87
tubingen_000014_000019,4.86
weimar_000091_000019,4.79
darmstadt_000059_000019,4.79
dusseldorf_000125_000019,4.73
dusseldorf_000093_000019,4.67
